지역,총계,산업,건물,발전,계(발전제외)
계,151037242,80564808,2306560,68165874,82871368
서울,1874442,511550,1020009,342883,1531559
부산,3409887,765756,142504,2501628,908259
대구,757691,698552,59139,-,757691
인천,18072346,4733175,92023,13247147,4825199
광주,414002,374537,39464,-,414002
대전,588745,414813,173933,-,588745
울산,12881205,9768434,16942,3095829,9785376
세종,259252,142364,1874,115014,144238
경기,11441370,7962127,416485,3062758,8378612
강원,4244324,2679430,98478,1466417,2777907
충북,2634862,2605459,29403,-,2634862
충남,39662689,13414407,52632,26195650,13467039
전북,3224579,2281109,36626,906844,2317735
전남,23214821,21256008,13161,1945652,21269169
경북,11453904,11156098,49319,248487,11205417
경남,16215053,1791700,47023,14376330,1838723
제주,688070,9289,17547,661234,26835
