지역,총계,산업,건물,수송,발전,계(발전제외)
계,168155187,104014475,2896771,3337950,57905991,110249196
서울,X,330444,1095943,1171170,X,2597558
부산,2439942,772670,171133,391475,1104665,1335277
대구,1254363,1065734,80638,107990,-,1254363
인천,14882143,4582536,157974,144630,9997003,4885140
광주,395984,320334,43408,32242,-,395984
대전,944966,385688,189769,369509,-,944966
울산,13655002,12220058,23790,41239,1369915,12285087
세종,X,166535,10972,-,X,177507
경기,20231032,17095708,656203,570093,1909028,18322004
강원,9050792,4780198,130300,52830,4087464,4963328
충북,3164568,3042463,52458,69648,-,3164568
충남,43358334,18389085,50554,46306,24872389,18485945
전북,X,3078530,40739,50466,X,3169735
전남,26556767,24214505,21916,76514,2243831,24312936
경북,12540730,11930608,61516,89057,459548,12081181
경남,12155022,1617237,83087,96090,10358608,1796414
제주,444602,22141,26369,28692,367400,77202
