지역,산업,건물,발전,계(발전제외),총계,산업
계,87354493,2323715,63899722,89678208,156068140,89990319
서울,454947,981610,X,X,2618653,401735
부산,800815,147690,X,X,2296291,732144
대구,735130,60752,-,795881,1272745,1097844
인천,4710886,107893,13102749,4818779,16809442,4203764
광주,342292,44890,-,387182,446765,352994
대전,404821,173871,-,578692,964900,389129
울산,9838569,18705,X,X,11633572,9897835
세종,150065,X,X,X,667899,152759
경기,9141514,449311,2038389,9590826,15321567,11831621
강원,2725130,102205,1893422,2827335,4327134,2710930
충북,2603106,33980,-,2637086,2859920,2767809
충남,16796338,49317,25035571,16845655,40335652,16125777
전북,2516218,35742,X,X,3204958,2590123
전남,22610293,X,1853327,22619480,25049474,23249907
경북,11802395,39443,525875,11841838,12316209,11704788
경남,1712670,44611,13500181,1757282,15352034,1768756
제주,9304,18207,548054,27510,590925,12405
