지역,건물,수송,발전,계(발전제외),총계,산업
계,2947581,2840652,52335829,110021612,159111027,102690999
서울,1083970,1021857,X,2483116,X,416623
부산,185605,340142,X,1264303,X,733396
대구,77871,77787,-,1211986,1165227,1001669
인천,153777,119384,9727109,4926917,13359509,4174058
광주,43654,30109,-,410061,409018,335596
대전,200231,333511,-,930373,915067,380548
울산,22700,43821,X,11676382,X,11163931
세종,14524,-,X,189815,X,189854
경기,712522,467647,2045419,19396084,22641088,19118946
강원,111354,26574,3529265,4528733,9108374,4951493
충북,52511,49983,-,3333840,3359185,3255048
충남,46833,33138,22174188,16717517,38337059,17086308
전북,38136,39378,X,3175537,X,2855605
전남,23250,81320,1899081,24250264,23626333,22461725
경북,56378,71223,419261,11704373,10673381,10091366
경남,88263,76859,7219639,3740879,12278005,4456729
제주,36003,27921,380405,81431,630321,18105
