지역,총계,산업,건물,수송,발전,계(발전제외)
계,630321,18105,37618,34420,540178,90143
서울,X,189854,14857,-,X,204710
부산,409018,335596,47187,26235,-,409018
대구,915067,380548,213930,320589,-,915067
인천,1165227,1001669,84660,78898,-,1165227
광주,X,733396,192351,344440,X,1270187
대전,X,416623,1149622,1040780,X,2607025
울산,X,2855605,41228,40000,X,2936834
세종,3359185,3255048,54817,49320,-,3359185
경기,13359509,4174058,166295,126810,8892346,4467163
강원,12278005,4456729,86191,83713,7651372,4626633
충북,9108374,4951493,126054,38128,3992700,5115674
충남,10673381,10091366,58929,67147,455940,10217442
전북,X,11163931,22598,47232,X,11233761
전남,38337059,17086308,62116,33554,21155082,17181977
경북,22641088,19118946,797934,450932,2273277,20367811
경남,23626333,22461725,22879,97027,1044702,22581631
제주,159111027,102690999,3179263,2879226,50361539,108749488
