월,한전 및 자회사 총계,한전 및 자회사 수력 소계,한전 및 자회사 수력 일반,한전 및 자회사 수력 양수,한전 및 자회사 수력 소수력,한전 및 자회사 기력 소계,한전 및 자회사 기력 무연탄,한전 및 자회사 기력 유연탄,한전 및 자회사 기력 중유,한전 및 자회사 기력 LNG,한전 및 자회사 복합화력 소계,한전 및 자회사 원자력 소계,한전 및 자회사 신재생 소계,한전 및 자회사 집단 소계,한전 및 자회사 내연력 소계,타사 총계,타사 수력 소계,타사 수력 일반,타사 수력 소수력,타사 기력 유연탄,타사 복합화력 소계,타사 신재생 소계,타사 집단 소계,사업자(종합) 총계,사업자(종합) 수력 소계,사업자(종합) 수력 일반,사업자(종합) 수력 양수,사업자(종합) 수력 소수력,사업자(종합) 기력 소계,사업자(종합) 기력 무연탄,사업자(종합) 기력 유연탄,사업자(종합) 기력 중유,사업자(종합) 기력 LNG,사업자(종합) 복합화력 소계,사업자(종합) 원자력 소계,사업자(종합) 신재생 소계,사업자(종합) 집단 소계,사업자(종합) 내연력 소계,상용자가 한전구입 소계,총발전량 사업자+한전구입 소계
합계,426484068,5262507,917300,4186353,158855,232631450,4426611,222759888,5224768,220183,33955125,148426725,2693481,3001433,513347,126741534,1732666,1346205,386461,4700090,65663865,21451881,33193031,553225602,6995173,2263505,4186353,545316,237331541,4426611,227459979,5224768,220183,99618990,148426725,24145362,36194464,513347,304506,553530107
1월,38858632,417953,37613,365932,14408,21465583,636666,19795166,939839,93912,3472152,13104438,144705,220588,33212,10642856,119830,84490,35341,278686,5385878,1746043,3112418,49501488,537783,122103,365932,49749,21744269,636666,20073852,939839,93912,8858031,13104438,1890748,3333007,33212,41160,49542649
2월,35496007,402267,37701,352201,12366,19168753,590463,17626862,867864,83564,3121794,12373488,99007,302107,28592,9956379,105834,79599,26235,230130,5075544,1668128,2876742,45452386,508101,117300,352201,38601,19398883,590463,17856992,867864,83564,8197338,12373488,1767135,3178849,28592,46173,45498559
3월,35672236,389424,49148,328292,11984,19181112,465244,18499247,173914,42707,2497517,13174746,219370,165294,44773,11339861,111676,81833,29843,407561,6030517,1778832,3011274,47012097,501101,130981,328292,41827,19588674,465244,18906809,173914,42707,8528033,13174746,1998202,3176568,44773,37487,47049584
4월,33240589,378089,50537,314478,13074,17105922,462381,16452195,191346,-,1876031,13301538,270178,259056,49775,8769194,133045,89553,43492,64326,4490241,1777330,2304252,42009783,511134,140091,314478,56566,17170248,462381,16516521,191346,-,6366272,13301538,2047508,2563307,49775,11829,42021612
5월,33996468,457306,78128,367704,11474,17575225,405831,17024443,144951,-,1733530,13670032,218199,280297,61880,8818159,149121,114853,34268,252005,4671241,1899834,1845958,42814627,606427,192981,367704,45743,17827229,405831,17276448,144951,-,6404771,13670032,2118033,2126254,61880,5436,42820063
6월,32474815,437561,67851,360569,9140,16885157,256351,16334113,294694,-,2238710,12493858,192414,196498,30616,10950051,126464,96760,29704,475799,6105599,1775433,2466756,43424866,564025,164611,360569,38845,17360956,256351,16809912,294694,-,8344309,12493858,1967847,2663255,30616,5520,43430386
7월,38434374,482430,156030,311432,14969,21240268,274802,20409147,556319,-,4012960,12223246,147539,276763,51168,11208970,156594,118466,38128,667268,6054032,1720131,2610945,49643344,639024,274496,311432,53097,21907535,274802,21076414,556319,-,10066993,12223246,1867669,2887708,51168,7751,49651095
8월,38235049,667020,217315,435068,14637,21849877,369087,21147470,333320,-,3109468,11914437,348333,288624,57291,10710217,301250,258287,42963,611934,5455721,1817936,2523376,48945266,968270,475602,435068,57600,22461810,369087,21759403,333320,-,8565189,11914437,2166269,2812000,57291,5855,48951121
9월,35201531,504595,70093,419742,14761,19915119,215171,19462697,237250,-,1991560,12332852,341207,91298,24900,8981336,169016,131965,37051,300899,4468738,1809573,2233110,44182867,673611,202057,419742,51812,20216018,215171,19763596,237250,-,6460298,12332852,2150780,2324408,24900,13050,44195917
10월,33344138,428783,50664,362831,15287,18495155,280495,18054688,159972,-,1887951,12108787,147514,231606,44343,9023421,138060,108496,29563,319809,4282120,1802445,2480987,42367559,566843,159161,362831,44851,18814964,280495,18374496,159972,-,6170071,12108787,1949959,2712593,44343,18967,42386526
11월,33797360,342942,50198,279294,13451,18285230,221807,17742441,320982,-,3214796,11291469,275519,347667,39737,12223289,108404,87958,20446,348245,6528453,1791146,3447041,46020649,451346,138156,279294,33897,18633475,221807,18090686,320982,-,9743249,11291469,2066665,3794708,39737,60114,46080764
12월,37732868,354137,52023,288810,13304,21464050,248312,20211420,1004318,-,4798655,10437833,289498,341636,47059,14117802,113371,93944,19427,743429,7115780,1865050,4280172,51850670,467508,145967,288810,32730,22207479,248312,20954849,1004318,-,11914436,10437833,2154548,4621808,47059,51164,51901834
