월,한전 및 자회사 총계,한전 및 자회사 수력 소계,한전 및 자회사 수력 일반,한전 및 자회사 수력 양수,한전 및 자회사 수력 소수력,한전 및 자회사 기력 소계,한전 및 자회사 기력 무연탄,한전 및 자회사 기력 유연탄,한전 및 자회사 기력 중유,한전 및 자회사 복합화력 소계,한전 및 자회사 원자력 소계,한전 및 자회사 신재생 소계,한전 및 자회사 집단 소계,한전 및 자회사 내연력 소계,타사 총계,타사 수력 소계,타사 수력 일반,타사 수력 소수력,타사 기력 유연탄,타사 복합화력 소계,타사 신재생 소계,타사 집단 소계,사업자(종합) 총계,사업자(종합) 수력 소계,사업자(종합) 수력 일반,사업자(종합) 수력 양수,사업자(종합) 수력 소수력,사업자(종합) 기력 소계,사업자(종합) 기력 무연탄,사업자(종합) 기력 유연탄,사업자(종합) 기력 중유,사업자(종합) 복합화력 소계,사업자(종합) 원자력 소계,사업자(종합) 신재생 소계,사업자(종합) 집단 소계,사업자(종합) 내연력 소계,상용자가 한전구입 소계,총발전량 사업자+한전구입 소계
합계,418327451,5187234,1101827,3911035,174372,228662857,2677040,220140570,5845247,43133972,133505261,3663802,3645872,528453,151520206,2083219,1646574,436645,8835428,73701635,23512872,43387051,569847656,7270453,2748401,3911035,611017,237498286,2677040,228975999,5845247,116835607,133505261,27176674,47032922,528453,798850,570646507
1월,38943679,377928,60236,303237,14455,23083099,138529,21702042,1242528,4837297,9825819,385276,383758,50504,14347529,105900,88017,17883,800964,7271178,1832381,4337106,53291208,483828,148253,303237,32338,23884063,138529,22503006,1242528,12108475,9825819,2217656,4720864,50504,103006,53394215
2월,34098844,337397,56076,269444,11877,20466649,124209,19613591,728850,3842928,8791258,293671,320117,46824,12284495,102534,86518,16015,696014,6080264,1716809,3688874,46383339,439931,142594,269444,27892,21162663,124209,20309604,728850,9923192,8791258,2010480,4008991,46824,88962,46472301
3월,33762400,357509,43226,299355,14929,19372394,91053,18502444,778897,4130468,9243306,326910,291919,39894,13424204,105666,79653,26013,692648,7106248,1959142,3560501,47186604,463175,122878,299355,40942,20065042,91053,19195092,778897,11236716,9243306,2286051,3852420,39894,62176,47248780
4월,30333334,364430,71904,279209,13318,15945263,125856,15640045,179362,3851500,9422492,373563,333398,42687,12777879,134096,90974,43122,720992,6446255,2014390,3462147,43111213,498525,162877,279209,56440,16666255,125856,16361037,179362,10297755,9422492,2387953,3795545,42687,44228,43155441
5월,31954114,507871,178320,317243,12308,16214361,136674,15803952,273735,3338706,11368423,182183,288827,53744,12297133,283414,232342,51072,752607,6012312,1948606,3300194,44251247,791285,410662,317243,63380,16966968,136674,16556560,273735,9351017,11368423,2130789,3589020,53744,46683,44297930
6월,32007410,489511,159354,320731,9426,16493270,203983,16042218,247069,3203859,11303421,169287,292273,55790,12425844,242630,199401,43230,672400,6406567,1954108,3150139,44433255,732141,358755,320731,52656,17165670,203983,16714619,247069,9610426,11303421,2123395,3442412,55790,60898,44494153
7월,39137686,591989,178247,397162,16581,21369102,391382,20400154,577566,3617082,13052206,171357,280828,55121,12843945,216828,168812,48016,754059,6377037,2093399,3402622,51981631,808818,347059,397162,64597,22123161,391382,21154213,577566,9994119,13052206,2264756,3683450,55121,38407,52020038
8월,40724680,523142,77215,428818,17108,22694507,411523,21647283,635700,4023503,12752550,391433,293895,45651,12481022,177068,137142,39926,807075,6117017,2017572,3362290,53205702,700210,214358,428818,57034,23501581,411523,22454358,635700,10140520,12752550,2409005,3656184,45651,29282,53234984
9월,33373810,468617,76223,373797,18597,18793228,341558,18271642,180028,2385985,11074114,381246,231829,38791,10102919,244295,194991,49304,773036,4671613,1984136,2429839,43476729,712912,271213,373797,67901,19566264,341558,19044678,180028,7057598,11074114,2365382,2661668,38791,50561,43527290
10월,32745130,351536,48175,287747,15614,16724245,281785,16011208,431253,2984813,12082871,282093,290894,28678,12121948,157441,116389,41052,632044,5876353,2114385,3341725,44867078,508977,164565,287747,56665,17356289,281785,16643251,431253,8861166,12082871,2396478,3632619,28678,60363,44927441
11월,33617543,383315,70322,298330,14663,17254967,236031,16829421,189515,3056948,12158328,406632,322672,34680,12321606,147886,116658,31229,753426,5250386,1857001,4312906,45939149,531201,186979,298330,45891,18008393,236031,17582847,189515,8307334,12158328,2263633,4635579,34680,97675,46036823
12월,37628820,433988,82530,335961,15497,20251773,194458,19676571,380745,3860882,12430474,300151,315462,36089,14091681,165462,135678,29784,780163,6086406,2020944,5038707,51720501,599450,218208,335961,45281,21031937,194458,20456734,380745,9947287,12430474,2321094,5354169,36089,116610,51837111
