월,한전 및 자회사 총계,한전 및 자회사 수력 소계,한전 및 자회사 수력 일반,한전 및 자회사 수력 양수,한전 및 자회사 수력 소수력,한전 및 자회사 기력 소계,한전 및 자회사 기력 무연탄,한전 및 자회사 기력 유연탄,한전 및 자회사 기력 중유,한전 및 자회사 복합화력 소계,한전 및 자회사 원자력 소계,한전 및 자회사 신재생 소계,한전 및 자회사 집단 소계,한전 및 자회사 내연력 소계,타사 총계,타사 수력 소계,타사 수력 일반,타사 수력 소수력,타사 기력 유연탄,타사 복합화력 소계,타사 신재생 소계,타사 집단 소계,타사 기타 소계,사업자(종합) 총계,사업자(종합) 수력 소계,사업자(종합) 수력 일반,사업자(종합) 수력 양수,사업자(종합) 수력 소수력,사업자(종합) 기력 소계,사업자(종합) 기력 무연탄,사업자(종합) 기력 유연탄,사업자(종합) 기력 중유,사업자(종합) 복합화력 소계,사업자(종합) 원자력 소계,사업자(종합) 신재생 소계,사업자(종합) 집단 소계,사업자(종합) 내연력 소계,사업자(종합) 기타 소계,상용자가 한전구입 소계,총발전량 사업자+한전구입 소계
합계,409069939,4476640,842229,3458385,176026,213628071,2592225,209193368,1842478,36669948,145909669,5427962,2378737,578912,152823960,1770424,1386809,383615,7290358,73618864,25098295,43679358,1366663,561893899,6247064,2229038,3458385,559641,220918428,2592225,216483725,1842478,110288811,145909669,30526257,46058095,578912,1366663,1146405,563040305
1월,38316562,418380,62760,340555,15065,20999064,274232,20404389,320443,3836442,12256406,410342,351881,44046,14463990,126017,100508,25509,810038,6535187,2124546,4856368,11833,52780551,544397,163268,340555,40574,21809102,274232,21214427,320443,10371629,12256406,2534888,5208249,44046,11833,123238,52903789
2월,32651176,364620,53030,298794,12797,17563736,241826,17210115,111795,3013780,11033718,331726,302542,41055,12183107,106415,85582,20832,453900,5587235,1978084,4046852,10621,44834283,471035,138612,298794,33629,18017636,241826,17664015,111795,8601014,11033718,2309810,4349394,41055,10621,98119,44932402
3월,34058604,332419,45469,274567,12383,16056495,233613,15238326,584556,2880854,14033501,388670,324572,42094,13056151,118476,91409,27067,392963,5743267,2441536,4358955,955,47114756,450895,136878,274567,39450,16449458,233613,15631289,584556,8624120,14033501,2830206,4683527,42094,955,94519,47209275
4월,31205745,359916,63873,284553,11490,13342744,195426,13147318,-,2895734,14149570,380688,29602,47491,12672053,169836,135482,34354,544967,6250581,2260393,3439389,6887,43877798,529753,199355,284553,45844,13887712,195426,13692286,-,9146314,14149570,2641080,3468990,47491,6887,68055,43945853
5월,31857773,351017,82317,257825,10875,13609266,174555,13413611,21100,2704671,14771049,389091,-,32679,12437099,188830,149991,38839,763351,5760103,2691371,3022951,10493,44294871,539847,232308,257825,49714,14372617,174555,14176961,21100,8464773,14771049,3080461,3022951,32679,10493,39321,44334192
6월,32975751,309012,73906,222495,12611,16156864,226332,15928063,2469,2438585,13582797,392853,51800,43840,10763747,171561,132537,39024,670319,4986800,2268496,2657766,8806,43739498,480573,206443,222495,51635,16827183,226332,16598382,2469,7425385,13582797,2661349,2709566,43840,8806,53770,43793268
7월,36632642,411807,87797,306844,17166,20799367,274668,20470646,54053,3157627,11677950,383269,150694,51928,13072721,155289,120299,34990,755100,6648844,2341475,3164106,7907,49705363,567096,208095,306844,52157,21554466,274668,21225746,54053,9806471,11677950,2724744,3314800,51928,7907,34368,49739732
8월,38224995,441285,108905,314022,18359,21322120,270457,20948666,102997,3454847,12196916,604511,151171,54145,13378930,159466,118683,40783,761527,6662411,2450286,3333011,12229,51603925,600751,227587,314022,59142,22083648,270457,21710194,102997,10117258,12196916,3054797,3484182,54145,12229,37795,51641721
9월,33536839,422712,104442,299648,18622,19544597,183396,19340396,20805,2459976,10320798,593791,156006,38959,10801506,142845,107062,35783,479671,5430012,1824953,2911909,12115,44338345,565558,211504,299648,54406,20024268,183396,19820067,20805,7889988,10320798,2418745,3067914,38959,12115,123962,44462306
10월,32956456,352080,43887,290872,17320,18758148,136103,18502154,119892,2374266,10599853,561000,224930,86178,11541746,194159,161340,32819,370666,5482283,1662097,3365385,467156,44498202,546239,205227,290872,50140,19128814,136103,18872820,119892,7856549,10599853,2223097,3590316,86178,467156,131402,44629604
11월,32100227,337383,55911,267086,14386,17642258,171733,17448178,22348,3121926,10227944,431695,277508,61513,12886605,113983,88609,25374,524573,6601702,1521949,3677433,446965,44986832,451366,144520,267086,39760,18166831,171733,17972750,22348,9723628,10227944,1953644,3954941,61513,446965,177891,45164724
12월,34553168,376008,59933,301124,14952,17833411,209885,17141507,482019,4331239,11059168,560325,358033,34984,15566306,123546,95307,28239,763282,7930440,1533110,4845232,370696,50119474,499554,155240,301124,43190,18596693,209885,17904789,482019,12261679,11059168,2093435,5203266,34984,370696,163966,50283440
