월,한전 및 자회사 총계,한전 및 자회사 수력 소계,한전 및 자회사 수력 일반,한전 및 자회사 수력 양수,한전 및 자회사 수력 소수력,한전 및 자회사 기력 소계,한전 및 자회사 기력 무연탄,한전 및 자회사 기력 유연탄,한전 및 자회사 기력 중유,한전 및 자회사 기력 LNG,한전 및 자회사 복합화력 소계,한전 및 자회사 원자력 소계,한전 및 자회사 신재생 소계,한전 및 자회사 집단 소계,한전 및 자회사 내연력 소계,한전 및 자회사 기타 소계,타사 총계,타사 수력 소계,타사 수력 일반,타사 수력 소수력,타사 기력 유연탄,타사 복합화력 소계,타사 신재생 소계,타사 집단 소계,타사 기타 소계,사업자(종합) 총계,사업자(종합) 수력 소계,사업자(종합) 수력 일반,사업자(종합) 수력 양수,사업자(종합) 수력 소수력,사업자(종합) 기력 소계,사업자(종합) 기력 무연탄,사업자(종합) 기력 유연탄,사업자(종합) 기력 중유,사업자(종합) 기력 LNG,사업자(종합) 복합화력 소계,사업자(종합) 원자력 소계,사업자(종합) 신재생 소계,사업자(종합) 집단 소계,사업자(종합) 내연력 소계,사업자(종합) 기타 소계,상용자가 한전구입 소계,총발전량 사업자+한전구입 소계
합계,394522245,4501624,1075634,3271019,154971,180898793,2094210,176714012,1503944,586627,38033491,160183721,7016146,3412958,404673,70839,155963475,2646625,2130346,516280,8527220,73725754,24040363,42154306,4869207,550485720,7148249,3205979,3271019,671251,189426013,2094210,185241232,1503944,586627,111759245,160183721,31056508,45567264,404673,4940046,1676440,552162160
1월,34737992,401921,74252,312844,14825,17015148,229679,16608437,23371,153661,4463940,11898121,575236,350299,25877,7451,14950305,136604,95785,40819,802767,7247275,1401991,4872695,488974,49688298,538526,170037,312844,55645,17817915,229679,17411203,23371,153661,11711215,11898121,1977227,5222994,25877,496425,163078,49851376
2월,32574177,394299,62636,319588,12075,14780833,214361,14513010,10102,43360,3777122,12690402,598910,305685,23374,3552,13688636,133895,94110,39784,750861,6515430,1673018,4181286,434147,46262813,528194,156746,319588,51859,15531694,214361,15263871,10102,43360,10292552,12690402,2271928,4486971,23374,437699,186185,46448998
3월,31666663,372560,60797,302056,9707,12444011,103669,12305217,35125,-,3386004,14463259,672669,295406,25248,7505,14336532,161235,116540,44695,538273,6777443,2237382,4135800,486399,46003195,533795,177337,302056,54401,12982284,103669,12843489,35125,-,10163447,14463259,2910051,4431206,25248,493904,161733,46164928
4월,30816603,359189,53417,297160,8613,13448443,129360,13254117,64966,-,2312329,13688789,619708,350720,29962,7463,11300065,151887,113369,38519,653994,4499786,2452177,3078005,464216,42116669,511077,166785,297160,47132,14102437,129360,13908111,64966,-,6812115,13688789,3071885,3428726,29962,471678,138726,42255395
5월,31392127,378390,79817,286604,11968,13199462,203416,12979191,4681,12174,1875182,15257951,391646,256460,25961,7074,10058711,183915,132694,51221,702225,3854329,2219032,2605443,493768,41450839,562305,212511,286604,63189,13901687,203416,13681416,4681,12174,5729510,15257951,2610678,2861903,25961,500842,130525,41581363
6월,32817024,322388,84248,224858,13282,15230741,266268,14948507,-,15966,2595596,14069176,278709,280040,36005,4370,10803501,190278,142188,48090,551878,4899190,2127057,2460951,574147,43620525,512666,226436,224858,61373,15782619,266268,15500385,-,15966,7494786,14069176,2405765,2740991,36005,578517,209093,43829618
7월,34656944,351908,98115,236944,16848,17358225,274849,17071898,-,11477,2456440,13720945,465353,269350,27539,7185,11876711,260416,203622,56794,755233,5723093,1690678,2898214,549077,46533655,612324,301737,236944,73642,18113457,274849,17827131,-,11477,8179533,13720945,2156031,3167564,27539,556261,149795,46683450
8월,37028344,486106,196832,271733,17542,19152660,155300,18761178,121015,115167,3796792,12526259,682866,341251,39266,3144,13875049,588282,538536,49746,807338,6806697,2014383,3138279,520069,50903392,1074388,735368,271733,67287,19959998,155300,19568516,121015,115167,10603489,12526259,2697249,3479530,39266,523212,147518,51050911
9월,31732039,465670,199410,250835,15425,17490336,17746,16915898,515236,41455,3384824,9292564,734131,320488,40082,3945,12776450,414568,361959,52609,737858,6395332,1983887,2729017,515788,44508489,880238,561369,250835,68034,18228194,17746,17653756,515236,41455,9780155,9292564,2718018,3049505,40082,519733,90953,44599442
10월,29877629,320248,64207,243082,12959,12902403,10420,12771246,109619,11118,2396934,13468311,634746,110932,36319,7737,13159355,153731,119455,34276,723137,6996758,2262237,2919256,104236,43036984,473979,183662,243082,47235,13625540,10420,13494382,109619,11118,9393692,13468311,2896983,3030188,36319,111973,127491,43164475
11월,31262634,288517,55234,222581,10702,13114734,258801,12610811,245122,-,2901399,14048115,649519,210764,43054,6533,13620189,136221,106479,29742,754074,6442393,1963289,4202204,122008,44882823,424738,161713,222581,40445,13868808,258801,13364885,245122,-,9343792,14048115,2612808,4412968,43054,128541,49273,44932096
12월,35960067,360427,46669,302734,11024,14761797,230340,13974503,374707,182248,4686930,15059831,712653,321563,51986,4881,15517971,135593,105609,29984,749584,7568028,2015232,4933155,116379,51478038,496020,152278,302734,41008,15511381,230340,14724087,374707,182248,12254957,15059831,2727885,5254718,51986,121260,122070,51600108
