월,한전 및 자회사 총계,한전 및 자회사 수력 소계,한전 및 자회사 수력 일반,한전 및 자회사 수력 양수,한전 및 자회사 수력 소수력,한전 및 자회사 기력 소계,한전 및 자회사 기력 무연탄,한전 및 자회사 기력 유연탄,한전 및 자회사 기력 중유,한전 및 자회사 기력 LNG,한전 및 자회사 복합화력 소계,한전 및 자회사 원자력 소계,한전 및 자회사 신재생 소계,한전 및 자회사 집단 소계,한전 및 자회사 내연력 소계,한전 및 자회사 기타 소계,타사 총계,타사 수력 소계,타사 수력 일반,타사 수력 소수력,타사 기력 유연탄,타사 복합화력 소계,타사 신재생 소계,타사 집단 소계,타사 기타 소계,사업자(종합) 총계,사업자(종합) 수력 소계,사업자(종합) 수력 일반,사업자(종합) 수력 양수,사업자(종합) 수력 소수력,사업자(종합) 기력 소계,사업자(종합) 기력 무연탄,사업자(종합) 기력 유연탄,사업자(종합) 기력 중유,사업자(종합) 기력 LNG,사업자(종합) 복합화력 소계,사업자(종합) 원자력 소계,사업자(종합) 신재생 소계,사업자(종합) 집단 소계,사업자(종합) 내연력 소계,사업자(종합) 기타 소계,상용자가 총계,상용자가 한전구입 소계,상용자가 자가소비 소계,총발전량 사업자+한전구입 소계,총발전량 사업자+상용자가 소계
합계,408441461,5043366,1203185,3715049,125132,165999900,1870760,162400003,351793,1377345,49104913,176054012,8461920,3138364,570046,68940,185507861,2212862,1747477,465385,22476793,74890926,38804336,46020340,1102604,593949322,7256228,2950662,3715049,590517,188476694,1870760,184876796,351793,1377345,123995839,176054012,47266256,49158704,570046,1171543,30650791,451043,30199748,594400365,624600113
1월,38575652,382729,41931,330407,10391,16521623,-,16157270,351793,12561,4373522,16103260,781346,351664,54726,6781,16172953,137615,107392,30223,1590738,6441278,2689088,5233496,80737,54748605,520344,149323,330407,40614,18112361,-,17748008,351793,12561,10814801,16103260,3470434,5585160,54726,87518,...,43696,...,54792301,...
2월,33016704,369163,36696,323696,8771,13635610,-,13602760,-,32850,3948720,13989890,716004,293108,58129,6079,15397934,122111,95237,26875,1720154,5696123,3029023,4752088,78436,48414638,491275,131933,323696,35646,15355764,-,15322914,-,32850,9644843,13989890,3745027,5045196,58129,84515,...,72864,...,48487502,...
3월,31875258,413916,61187,343746,8983,11683698,140,11508474,-,175084,4733694,13866525,763830,349459,60216,3921,17758805,139670,101411,38259,1869868,7565273,3116210,4974644,93140,49634063,553586,162598,343746,47242,13553566,140,13378342,-,175084,12298968,13866525,3880039,5324102,60216,97061,...,25090,...,49659153,...
4월,29519015,327894,53005,266487,8402,11228739,236341,10952960,-,39438,3581326,13385162,653559,282388,53290,6657,15315517,145050,105647,39403,1618551,6211972,3614647,3634178,91119,44834532,472944,158652,266487,47806,12847289,236341,12571511,-,39438,9793299,13385162,4268206,3916566,53290,97776,...,24337,...,44858870,...
5월,31436952,376854,75535,293676,7643,11992770,166562,11709780,-,116428,3592959,14609832,539654,278137,40090,6657,14729661,161643,117809,43834,1411602,6103557,4354084,2607243,91533,46166613,538497,193344,293676,51477,13404372,166562,13121381,-,116428,9696516,14609832,4893738,2885380,40090,98190,...,14217,...,46180830,...
6월,33536092,399386,114153,276411,8822,13765070,156796,13476359,-,131916,3728189,14725941,580459,289138,41707,6202,14037034,156376,116320,40056,1545529,5856205,3248987,3137794,92142,47573126,555762,230473,276411,48878,15310600,156796,15021888,-,131916,9584394,14725941,3829447,3426932,41707,98344,...,13735,...,47586861,...
7월,38923712,522954,222253,286805,13896,17319132,274298,16885548,-,159287,4591472,15354809,763738,304270,63090,4247,16086952,162786,116736,46049,2013753,6999294,3257870,3549485,103763,55010664,685740,338989,286805,59946,19332885,274298,18899301,-,159287,11590767,15354809,4021608,3853755,63090,108010,...,16742,...,55027406,...
8월,38074941,564500,220057,328960,15483,16248273,273412,15917047,-,57814,3778360,16308978,861790,259891,47316,5832,15833278,459552,409722,49829,2197926,6618656,3099873,3361461,95811,53908219,1024052,629780,328960,65313,18446199,273412,18114973,-,57814,10397016,16308978,3961663,3621352,47316,101643,...,55743,...,53963962,...
9월,32037970,481276,152796,316068,12412,13397417,149742,13159753,-,87922,3361151,14093577,666155,-,31613,6781,14232846,322200,271400,50800,1696447,5945399,3305673,2873874,89254,46270816,803476,424196,316068,63213,15093864,149742,14856200,-,87922,9306549,14093577,3971828,2873874,31613,96034,...,37494,...,46308310,...
10월,31332137,430161,95362,323630,11169,11915661,197904,11567589,-,150169,3823445,14381733,692503,44279,39605,4748,14310452,145798,108331,37467,2095367,5180601,3495527,3293996,99163,45642589,575960,203693,323630,48636,14011029,197904,13662956,-,150169,9004046,14381733,4188030,3338275,39605,103911,...,99070,...,45741659,...
11월,31919754,392196,71343,312238,8616,12443691,141076,12115209,-,187406,4120271,14005635,584020,334007,35487,4447,14278564,132122,98893,33229,2050351,5475048,2920248,3606441,94354,46198318,524318,170236,312238,41845,14494043,141076,14165561,-,187406,9595319,14005635,3504268,3940448,35487,98801,...,24701,...,46223019,...
12월,38193276,382337,58867,312926,10544,15848214,274490,15347254,-,226470,5471801,15228671,858862,352023,44778,6589,17353862,127938,98578,29360,2666508,6797520,2673106,4995641,93150,55547138,510275,157445,312926,39904,18514722,274490,18013762,-,226470,12269321,15228671,3531968,5347664,44778,99739,...,23354,...,55570492,...
