연도,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2022,4336753.909,46579328.896,2468915.6632,54283452.776,769032.947,295032.691,33641329.131,3278702.829,85780163.687,33876526.413,2763199.957,107812826.825,14990919.294,59383537.975,89843898.163,49481590.722,4815152.918
2021,5343889.297,40353946.309,2811756.812,60506261.758,644018.382,182180.361,31503575.385,3776643.917,82232650.151,30622785.083,2204815.677,111228524.334,14322433.433,61841016.176,81381671.697,43885393.219,3967926.374
2020,5122176,40647380,2568644,57135627,609551,167834,29808674,3552567,72512661,27875047,2221149,114103936,12599529,58217106,85865577,35332874,3821827
2019,1846891.377,37527898.08,2877895.502,60052894.797,562074.508,167975.238,29016048.83,2463629.975876,73976878.238,28715887.712,1604430.71,123904967.248,12282266.949,55753829.248,79827085.67,48465021.571,3994629.14
2018,640739.4065,38495982.59,2649458.583,62929390.03,514494.2276,183668.7981,20588807.14,3718198.534353,74188981.98,30980843.51,1626983.225,129631997.7,11742504.53,60066483.57,76124555.51,53192098.49,3371318.793
2017,841569,26550923,2673615,62555723,480426,184668,22677064,3052432,61850744,20911898,1293887,131897043,9715713,66047667,84097328,55565893,3133515
2016,874131,51006660,3105758,65939273,429418,186769,13583162,2840978,57085319,10598883,1156380,111645164,9674002,69054766,81884729,58252913,3122549
2015,768860,47218627,2816369,68377707,383433,168642,9065208,8660,45075935,8066843,687366,114076266,6539840,78460707,84607657,58739603,3029468
2014,799391,37424885,513395,73425270,399737,151727,9961740,0,28777547,10011236,808047,122694924,7618852,77493308,73125603,75684560,3080679
2013,2184346,38074350,302056,80861254,581864,231663,14048956,0,30309811,12206499,1285358,121230287,7927838,67705185,68716362,68300364,3181681
2012,1981199,35685485,264243,76386995,138121,239222,14609288,0,28546977,11582557,1264902,118763839,7765133,64461509,70202138,74601938,3080783
