에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 총발전량①+② (MWh),435992,265427,143797,866708,116864,29810,629800,38750,1854325,1522010,657422,6611242,1252727,11035093,7997362,2128017,1493517,40655803
① 재생에너지 합,261194,240245,97731,778976,114593,29607,606914,38750,1247888,1521821,657402,6582841,1240738,10961748,7981593,2127955,1493517,39151720
② 신에너지 합,174797,25182,46066,87732,2271,202,22886,0,606437,189,20,28401,11989,73345,15769,62,0,1504083
신·재생에너지 지역별 발전비중 (%),1.18,0.72,0.39,2.34,0.32,0.08,1.70,0.10,5.00,4.10,1.77,17.83,3.38,29.76,21.57,5.74,4.03,100.00
태양광 (MWh),74994,91376,49819,51238,85668,28604,21932,22453,233215,189132,168596,367688,724840,1017949,424086,334106,93462,5122441
풍력 (MWh),189,500,25,51869,2,374,2103,0,5714,397264,15,24,16395,160269,330704,28804,348188,1683142
수력 (MWh),1426,59,14494,40907,6067,553,1779,10007,372878,404506,359163,96996,229366,112093,212437,286150,1131,2858714
해양 (MWh),0,0,0,0,0,0,0,0,496354,0,0,0,0,0,0,0,0,495556
바이오 (MWh),48997,15796,21515,593432,6136,76,457880,0,44721,426224,8713,1418489,199411,90036,2730,1171655,1040772,6237564
폐기물 (MWh),135588,132514,11878,41530,16720,0,123221,6290,95007,104694,120914,4699644,70726,9581402,7011636,307239,9964,22754303
연료전지 (MWh),174797,25182,46066,87732,2271,202,22886,0,606437,189,20,22312,11989,73345,15769,62,0,1143402
IGCC (MWh),0,0,0,0,0,0,0,0,0,0,0,6089,0,0,0,0,0,360681
