에너지원,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 총발전량①+② (MWh),19498064,176227,103840,115232,513727,37232,8379,515504,1682266,1275023,1114117,3551423,676956,2952041,6006565,544958,224579,21437822
① 재생에너지 합,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
② 신에너지 합,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신·재생에너지 지역별 발전비중 (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
태양광 (MWh),1103227,25710,11985,10948,14874,18012,7821,7407,53997,39008,44365,77763,177234,298001,201832,100234,14035,1605182
풍력 (MWh),912760,177,421,12,31629,2,350,3609,6156,354347,14,22,11818,8377,288186,7408,200237,1148179
수력 (MWh),3862087,0,27,8781,24856,2025,0,1965,797900,857193,1037100,89820,348728,123289,262913,307049,442,4228112
해양 (MWh),465924,0,0,0,0,0,0,0,465924,0,0,0,0,0,0,0,0,483777
바이오 (MWh),1027251,13457,17806,16862,419188,4544,54,275940,800,13563,4796,75642,73416,9896,1251,96902,3134,1839568
폐기물 (MWh),11737151,107251,20340,3351,9017,10302,0,226192,279966,10671,27821,3286433,48647,2432799,5234322,33307,6731,11554426
연료전지 (MWh),389664,29632,53261,75278,14163,2347,154,391,77523,241,21,21743,17113,79679,18061,58,0,578578
IGCC (MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
