에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 총발전량①+② (MWh),595227,445744,161255,639902,156732,44437,1112128,60650,2244820,2767094,1098134,9003431,3455024,12347538,9324032,1679419,1487755,53665123
① 재생에너지 합,268419,263002,119556,521410,154344,44062,1091472,60650,1621440,2766913,1097865,7689565,3454139,12240308,9308367,1679032,1487755,50198169
② 신에너지 합,326809,182741,41699,118492,2388,375,20656,0,623380,181,269,1313866,886,107230,15664,388,0,3466954
신·재생에너지 지역별 발전비중 (%),1.28,0.96,0.35,1.37,0.34,0.10,2.39,0.13,4.81,5.94,2.36,19.31,7.41,26.48,20.00,3.60,3.19,100.00
태양광 (MWh),105789,117514,76128,84845,133391,43066,39042,39496,400164,384631,360665,830746,1203832,1684211,836810,545261,170627,10154964
풍력 (MWh),202,403,27,51828,2,400,2294,0,5664,642665,16,2972,23135,306792,515380,79242,537994,2464879
수력 (MWh),1213,57,5379,45095,9092,553,935,6529,550031,820037,661291,79376,172278,66976,213047,185484,2511,3374375
해양 (MWh),0,0,0,0,0,0,0,0,489466,0,0,0,0,0,0,0,0,485353
바이오 (MWh),43273,14892,23232,282237,4545,43,758823,2170,56851,872775,8380,1733694,1985428,76147,6863,828161,769151,9363229
폐기물 (MWh),117941,130137,14791,57405,7314,0,290378,12456,119265,46805,67513,5042777,69466,10106182,7736267,40884,7473,24355370
연료전지 (MWh),326809,182741,41699,118492,2388,375,20656,0,623380,181,269,28133,886,107230,15664,388,0,1764948
IGCC (MWh),0,0,0,0,0,0,0,0,0,0,0,1285733,0,0,0,0,0,1702006
