에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
신·재생에너지 총발전량①+② (MWh),723176,693590,293356,1911643,471271,224281,689744,169375,5269025,6479493,2785854,9023827,10385213,7481402,5315057,2867620,2996072
① 재생에너지 합,388180,365617,278409,564400,406332,139650,472944,128981,3723948,6203412,2579630,6570279,10274015,7189211,5285824,2839026,2995689
② 신에너지 합,334996,327973,14947,1347243,64940,84631,216800,40394,1545077,276081,206224,2453548,111198,292191,29233,28593,383
신·재생에너지 지역별 발전비중 (%),1.25,1.20,0.51,3.31,0.82,0.39,1.19,0.29,9.12,11.21,4.82,15.62,17.97,12.95,9.20,4.96,5.19
태양광 (MWh),290528,324351,253577,258249,390494,135265,177458,112270,2133592,2181578,1711676,3693682,5534009,6376158,4085780,2279853,787739
풍력 (MWh),202,69,26,38774,8,386,250,0,4495,954664,73,2133,161686,585571,913760,133380,573980
수력 (MWh),379,244,14966,30288,6269,122,437,0,717533,1169315,824421,52379,212888,56039,238520,218238,2829
해양 (MWh),0,0,0,0,0,0,0,0,423839,0,0,0,0,3,0,0,1
바이오 (MWh),27783,12534,6072,228231,3051,0,290267,12460,379897,1883771,8211,2810616,4347686,93969,19547,191845,1611653
폐기물 (MWh),69288,28419,3768,8858,6510,3878,4532,4251,64591,14084,35249,11469,17747,77472,28216,15711,19487
연료전지 (MWh),334996,327973,14947,1347243,64940,84631,216800,40394,1545077,276081,206224,488720,111198,292191,29233,28593,383
IGCC (MWh),0,0,0,0,0,0,0,0,0,0,0,1964827,0,0,0,0,0
