에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 합계①+② (toe),325737,213516,184664,595688,99072,91966,501111,84544,1664252,1558778,697775,1985783,2116947,1465050,1080720,710771,623944,15706206
① 재생에너지 합,232226,150968,181487,276678,98033,83514,489254,75206,1354582,1527182,686054,1422595,2114538,1416169,1072946,705268,623855,14134169
② 신에너지 합,93510,62548,3177,319009,1039,8453,11857,9338,309670,31596,11721,563188,2409,48881,7774,5503,89,1572037
신·재생에너지 지역별 공급비중 (%),2.33,1.53,1.32,4.25,0.71,0.66,3.58,0.60,11.89,11.13,4.98,14.18,15.12,10.46,7.72,5.08,4.46,100.00
태양열 (toe),561,686,738,577,540,570,307,109,2305,2684,1345,2132,1215,3296,4298,3899,306,25035
태양광 (toe),55298,58882,44631,49014,70029,23997,32384,20576,384178,393308,304063,663622,905410,1112350,659785,394225,145474,6609387
풍력 (toe),45,15,6,8415,1,87,372,0,998,201821,11,437,31080,111982,194906,14551,112780,717864
수력 (toe),132,9,3092,8765,1753,59,244,0,134900,151904,155715,12205,50892,18346,62247,50280,685,755117
해양 (toe),0,0,0,0,0,0,0,0,96907,0,0,0,0,3,0,0,1,90279
지열 (toe),17900,3104,8395,8666,3835,5807,4414,15683,55341,21462,13116,21792,21717,18687,18454,15448,1771,279650
수열 (toe),18,46,0,157,0,0,0,0,19,684,5,1909,841,14078,661,4412,1927,26543
바이오 (toe),81856,51370,103172,153890,20475,26553,355707,30497,426130,539973,62300,680646,1053063,71578,96082,164483,345800,4372872
폐기물 (toe),76416,36856,21454,47195,1400,26441,95826,8340,253804,215346,149498,39853,50321,65850,36512,57968,15112,1257422
연료전지 (toe),93510,62548,3177,319009,1039,8453,11857,9338,309670,31596,11721,96557,2409,48881,7774,5503,89,1153529
IGCC (toe),0,0,0,0,0,0,0,0,0,0,0,466631,0,0,0,0,0,0
