에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 합계①+② (toe),361228,251656,179723,481843,88087,131164,828938,71498,1728157,1304389,736972,2190477,1689410,2852248,2273523,689532,666038,12378065
① 재생에너지 합,301380,198790,172535,361912,87503,125325,826398,71487,1559116,1304200,736875,1939644,1688349,2813816,2270712,689037,666038,11115797
② 신에너지 합,59848,52866,7188,119931,584,5839,2540,11,169041,189,96,250833,1062,38432,2811,494,0,1262268
신·재생에너지 지역별 공급비중 (%),2.19,1.52,1.09,2.92,0.53,0.79,5.02,0.43,10.46,7.89,4.46,13.26,10.22,17.26,13.76,4.17,4.03,100.00
태양열 (toe),695,813,925,665,607,708,357,122,2648,3005,1193,2415,1281,2913,4011,3962,370,26048
태양광 (toe),45303,42827,31673,35117,54252,17902,21015,15148,237662,227157,174204,372658,501343,593972,367811,245360,78619,4165154
풍력 (toe),44,74,6,9340,0,86,487,0,1032,146044,6,570,10803,104170,164884,16126,117163,671107
수력 (toe),373,23,799,8515,1513,56,282,0,120716,150869,133851,16364,49373,20114,50635,40442,614,826344
해양 (toe),0,0,0,0,0,0,0,0,101030,0,0,0,0,0,0,0,0,97397
지열 (toe),15002,2896,6875,7788,3593,4909,4023,14024,48634,18242,11158,18995,20266,15950,16192,14380,1771,240933
수열 (toe),0,23,0,130,0,0,0,0,8,643,0,1690,756,11954,572,3821,1800,23647
바이오 (toe),96475,60785,78213,195001,25767,29072,350446,21935,416837,326825,66575,550667,973153,200844,115780,209381,444671,3899174
폐기물 (toe),143488,91348,54045,105356,1771,72592,449788,20259,630549,431415,349888,976285,131373,1863901,1550827,155565,21028,1165993
연료전지 (toe),59848,52866,7188,119931,584,5839,2540,11,169041,189,96,31172,1062,38432,2811,494,0,755887
IGCC (toe),0,0,0,0,0,0,0,0,0,0,0,219661,0,0,0,0,0,506381
