,합계,가정용,공공용,서비스업,농림어업,광업,제조업(10차)
계,547932742,78557569,26218458,155219784,19285373,1758985,266892573
서울,48788677,14550103,3731551,28974161,19956,2004,1510903
부산,21493648,5054430,1318967,7934443,112183,20393,7053232
대구,16039260,3580477,896890,5850911,85684,16922,5608376
인천,25506864,4704964,1061842,8047040,165992,86695,11440330
광주,9116871,2249750,596484,3388222,87214,3438,2791763
대전,10016877,2142124,1196638,4281816,39500,1175,2355623
울산,32919181,1648161,540143,3481349,92980,13921,27142626
세종,3182079,645445,369610,290326,91637,11588,1773473
경기,140531012,21128150,6148678,40545794,2803262,261890,69643238
강원,17325520,2332245,1562036,6626692,791361,445375,5567812
충북,29412227,2434713,1414053,5613790,956883,124485,18868303
충남,50259638,3250542,1205339,7707805,2389068,339103,35367782
전북,21838474,2597581,1117563,5313085,1784102,66663,10959480
전남,34665105,2606963,1384767,5915581,3636671,76732,21044390
경북,44601033,3763344,1790827,9033740,2295285,219137,27498700
경남,36190920,4863308,1522501,9371342,2414495,61534,17957740
제주,6045356,1005271,360568,2843687,1519101,7929,308801
개성,0,0,0,0,0,0,0
