발전소명,위도,경도,소속사,발전종류 대분류,발전종류 소분류
강릉,37.60795,128.7189,한수원,수력,일반수력
의암,37.836092,127.675934,한수원,수력,일반수력
청평,37.725473,127.421303,한수원,수력,일반수력
춘천,37.968791,127.668264,한수원,수력,일반수력
칠보(섬진강),35.598616,127.009491,한수원,수력,일반수력
팔당,37.526561,127.279117,한수원,수력,일반수력
화천,38.117433,127.7789,한수원,수력,일반수력
대청,36.477888,127.480747,수자원공사,수력,일반수력
소양강,37.943546,127.815865,수자원공사,수력,일반수력
안동,36.58213,128.772957,수자원공사,수력,일반수력
용담,35.878605,127.480154,수자원공사,수력,일반수력
임하,36.537574,128.883275,수자원공사,수력,일반수력
주암,35.063613,127.238199,수자원공사,수력,일반수력
충주,37.006101,127.992396,수자원공사,수력,일반수력
합천,35.533781,128.031894,수자원공사,수력,일반수력
무주양수,35.968968,127.710236,한수원,수력,양수수력
예천양수,36.755103,128.427052,한수원,수력,양수수력
삼랑진양수,35.415722,128.868718,한수원,수력,양수수력
청평양수,37.7487,127.4754,한수원,수력,양수수력
양양양수,38.01928,128.496079,한수원,수력,양수수력
산청양수,35.259611,127.775213,한수원,수력,양수수력
청송양수,36.405652,129.016211,한수원,수력,양수수력
강림소수력,37.364345,128.152738,한수원,수력,소수력
괴산소수력,36.759191,127.84328,한수원,수력,소수력
보성강수력,34.805996,127.145387,한수원,수력,소수력
행원소수력,33.560616,126.815753,남부발전,수력,소수력
추산소수력,37.527436,130.858841,한국전력,수력,소수력
동해,37.482895,129.145193,동서발전,기력,무연탄
당진,37.055655,126.51195,동서발전,기력,유연탄
보령,36.402595,126.495382,중부발전,기력,유연탄
삼척그린파워,37.185396,129.341289,남부발전,기력,유연탄
삼천포,34.910768,128.108705,남동발전,기력,유연탄
신보령,36.384686,126.487748,중부발전,기력,유연탄
신서천,36.14447,126.496095,중부발전,기력,유연탄
영흥,37.236369,126.436795,남동발전,기력,유연탄
여수,34.840111,127.691386,남동발전,기력,유연탄
태안,36.903204,126.232483,서부발전,기력,유연탄
하동,34.951932,127.821278,남부발전,기력,유연탄
북평,37.47905,129.146862,GS동해전력,기력,유연탄
고성,34.91345,128.120025,고성그린파워,기력,유연탄
