계약종별 전력사용량 월별( 20240509 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 07 월 ~ 2022년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202207,전체(시도),전체(시 / 군 / 구),주택용,"15,760,073 ","7,546,543,850 ","958,948,084,918 ",127.1 
202207,전체(시도),전체(시 / 군 / 구),일반용,"3,422,492 ","11,822,038,058 ","1,824,708,930,240 ",154.3 
202207,전체(시도),전체(시 / 군 / 구),교육용,"20,910 ","790,057,114 ","100,570,023,543 ",127.3 
202207,전체(시도),전체(시 / 군 / 구),산업용,"436,137 ","26,105,231,546 ","3,388,927,266,610 ",129.8 
202207,전체(시도),전체(시 / 군 / 구),농사용,"2,010,480 ","1,624,036,526 ","98,638,872,790 ",60.7 
202207,전체(시도),전체(시 / 군 / 구),가로등,"2,254,959 ","246,498,183 ","33,919,047,347 ",137.6 
202207,전체(시도),전체(시 / 군 / 구),심 야,"709,010 ","370,664,031 ","28,266,197,768 ",76.3 
202208,전체(시도),전체(시 / 군 / 구),주택용,"15,766,077 ","8,958,960,033 ","1,160,990,150,915 ",129.6 
202208,전체(시도),전체(시 / 군 / 구),일반용,"3,432,749 ","12,762,255,501 ","1,937,128,944,134 ",151.8 
202208,전체(시도),전체(시 / 군 / 구),교육용,"20,888 ","698,247,796 ","93,314,973,154 ",133.6 
202208,전체(시도),전체(시 / 군 / 구),산업용,"436,484 ","25,212,118,146 ","3,294,275,204,857 ",130.7 
202208,전체(시도),전체(시 / 군 / 구),농사용,"2,018,284 ","1,901,385,059 ","113,878,943,481 ",59.9 
202208,전체(시도),전체(시 / 군 / 구),가로등,"2,260,953 ","258,211,582 ","34,439,889,140 ",133.4 
202208,전체(시도),전체(시 / 군 / 구),심 야,"707,021 ","342,494,811 ","26,638,918,030 ",77.8 
202209,전체(시도),전체(시 / 군 / 구),주택용,"15,773,976 ","7,391,284,989 ","903,856,283,730 ",122.3 
202209,전체(시도),전체(시 / 군 / 구),일반용,"3,441,773 ","11,055,632,140 ","1,519,884,809,783 ",137.5 
202209,전체(시도),전체(시 / 군 / 구),교육용,"20,879 ","700,263,435 ","82,133,954,306 ",117.3 
202209,전체(시도),전체(시 / 군 / 구),산업용,"436,797 ","23,784,079,559 ","2,606,520,429,210 ",109.6 
202209,전체(시도),전체(시 / 군 / 구),농사용,"2,024,139 ","1,767,391,226 ","106,752,417,659 ",60.4 
202209,전체(시도),전체(시 / 군 / 구),가로등,"2,273,905 ","271,707,897 ","35,255,928,533 ",129.8 
202209,전체(시도),전체(시 / 군 / 구),심 야,"705,505 ","319,298,291 ","23,845,671,759 ",74.7 
202210,전체(시도),전체(시 / 군 / 구),주택용,"15,781,770 ","6,042,951,043 ","743,423,987,888 ",123.0 
202210,전체(시도),전체(시 / 군 / 구),일반용,"3,450,803 ","9,425,290,842 ","1,260,212,021,356 ",133.7 
202210,전체(시도),전체(시 / 군 / 구),교육용,"20,875 ","603,467,384 ","66,840,020,433 ",110.8 
202210,전체(시도),전체(시 / 군 / 구),산업용,"436,984 ","24,122,445,791 ","2,844,374,455,838 ",117.9 
202210,전체(시도),전체(시 / 군 / 구),농사용,"2,028,339 ","1,456,596,591 ","95,504,057,485 ",65.6 
202210,전체(시도),전체(시 / 군 / 구),가로등,"2,271,104 ","290,128,463 ","36,952,802,599 ",127.4 
202210,전체(시도),전체(시 / 군 / 구),심 야,"704,211 ","376,521,722 ","27,962,767,679 ",74.3 
202211,전체(시도),전체(시 / 군 / 구),주택용,"15,792,121 ","6,105,434,039 ","787,454,622,125 ",129.0 
202211,전체(시도),전체(시 / 군 / 구),일반용,"3,462,903 ","9,258,092,142 ","1,430,655,125,492 ",154.5 
202211,전체(시도),전체(시 / 군 / 구),교육용,"20,847 ","661,572,613 ","82,811,893,577 ",125.2 
202211,전체(시도),전체(시 / 군 / 구),산업용,"437,059 ","23,454,529,797 ","3,402,277,781,828 ",145.1 
202211,전체(시도),전체(시 / 군 / 구),농사용,"2,581,321 ","1,954,607,829 ","125,194,703,815 ",64.1 
