지역,건물,수송,발전,계(발전제외)
계,3179263,2879226,50361539,108749488
서울,1149622,1040780,X,2607025
부산,192351,344440,X,1270187
대구,84660,78898,-,1165227
인천,166295,126810,8892346,4467163
광주,47187,26235,-,409018
대전,213930,320589,-,915067
울산,22598,47232,X,11233761
세종,14857,-,X,204710
경기,797934,450932,2273277,20367811
강원,126054,38128,3992700,5115674
충북,54817,49320,-,3359185
충남,62116,33554,21155082,17181977
전북,41228,40000,X,2936834
전남,22879,97027,1044702,22581631
경북,58929,67147,455940,10217442
경남,86191,83713,7651372,4626633
제주,37618,34420,540178,90143
