,level_0,연도,0
0,2021,지역별(1),전력거래량 (GWh)
1,2021,전국,537061
2,2021,경기도,80234
3,2021,강원도,27891
4,2021,경상남도,41105
5,2021,경상북도,75478
6,2021,전라남도,54381
7,2021,전라북도,10711
8,2021,충청남도,102740
9,2021,충청북도,1314
10,2021,제주도,4074
11,2021,서울,5170
12,2021,인천,58059
13,2021,대전,177
14,2021,광주,461
15,2021,대구,2737
16,2021,세종,3642
17,2021,울산,30244
18,2021,부산,38643
19,2021.1,지역별(1),전력거래량 비율 (%)
20,2021.1,전국,100
21,2021.1,경기도,14.9
22,2021.1,강원도,5.2
23,2021.1,경상남도,7.7
24,2021.1,경상북도,14.1
25,2021.1,전라남도,10.1
26,2021.1,전라북도,2
27,2021.1,충청남도,19.1
28,2021.1,충청북도,0.2
29,2021.1,제주도,0.8
30,2021.1,서울,1
31,2021.1,인천,10.8
32,2021.1,대전,0
33,2021.1,광주,0.1
34,2021.1,대구,0.5
35,2021.1,세종,0.7
36,2021.1,울산,5.6
37,2021.1,부산,7.2
38,2022,지역별(1),전력거래량 (GWh)
39,2022,전국,551380
40,2022,경기도,83983
41,2022,강원도,30959
42,2022,경상남도,46420
43,2022,경상북도,82646
44,2022,전라남도,51583
45,2022,전라북도,10483
46,2022,충청남도,99772
47,2022,충청북도,1701
48,2022,제주도,4322
49,2022,서울,4183
50,2022,인천,52068
51,2022,대전,257
52,2022,광주,542
53,2022,대구,2370
54,2022,세종,3153
55,2022,울산,32279
56,2022,부산,44657
57,2022.1,지역별(1),전력거래량 비율 (%)
58,2022.1,전국,100
59,2022.1,경기도,15.2
60,2022.1,강원도,5.6
61,2022.1,경상남도,8.4
62,2022.1,경상북도,15
63,2022.1,전라남도,9.4
64,2022.1,전라북도,1.9
65,2022.1,충청남도,18.1
66,2022.1,충청북도,0.3
67,2022.1,제주도,0.8
68,2022.1,서울,0.8
69,2022.1,인천,9.4
70,2022.1,대전,0
71,2022.1,광주,0.1
72,2022.1,대구,0.4
73,2022.1,세종,0.6
74,2022.1,울산,5.9
75,2022.1,부산,8.1
76,2023,지역별(1),전력거래량 (GWh)
77,2023,전국,544671
78,2023,경기도,85662
79,2023,강원도,33766
80,2023,경상남도,41829
81,2023,경상북도,87006
82,2023,전라남도,58802
83,2023,전라북도,10702
84,2023,충청남도,98201
85,2023,충청북도,2015
86,2023,제주도,4365
87,2023,서울,4923
88,2023,인천,46259
89,2023,대전,239
90,2023,광주,604
91,2023,대구,1913
92,2023,세종,3769
93,2023,울산,28755
94,2023,부산,35860
95,2023.1,지역별(1),전력거래량 비율 (%)
96,2023.1,전국,100
97,2023.1,경기도,15.7
98,2023.1,강원도,6.2
99,2023.1,경상남도,7.7
100,2023.1,경상북도,16
101,2023.1,전라남도,10.8
102,2023.1,전라북도,2
103,2023.1,충청남도,18
104,2023.1,충청북도,0.4
105,2023.1,제주도,0.8
106,2023.1,서울,0.9
107,2023.1,인천,8.5
108,2023.1,대전,0
109,2023.1,광주,0.1
110,2023.1,대구,0.4
111,2023.1,세종,0.7
112,2023.1,울산,5.3
113,2023.1,부산,6.6
