에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 총발전량①+② (MWh),236189,144956,120338,536055,50189,13186,663442,720,1964118,1770317,1096294,3828864,708959,3022574,5900952,1101705,278962,26882190
① 재생에너지 합,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25939134
② 신에너지 합,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943056
신·재생에너지 지역별 발전비중 (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
태양광 (MWh),31263,55100,19994,22089,25412,12393,9639,425,80132,50036,62955,106297,275384,435203,243945,152886,22030,2556299
풍력 (MWh),177,480,12,43533,2,350,2646,0,5618,467882,14,22,13508,26120,333286,7369,247161,1145556
수력 (MWh),0,313,17470,26729,3397,0,1646,0,1004478,1094541,1004001,107582,209748,128372,269326,360069,440,2753925
해양 (MWh),0,0,0,0,0,0,0,0,483777,0,0,0,0,0,0,0,0,492172
바이오 (MWh),57180,15133,19207,429071,3209,226,273917,0,915,136516,3327,191181,128912,32373,551,545551,2299,4656238
폐기물 (MWh),123057,26593,5552,6481,15611,0,365974,295,92566,21101,25972,3402915,66770,2324364,5034371,35772,7031,14334944
연료전지 (MWh),24513,47337,58103,8153,2559,216,9620,0,296633,241,25,20866,14638,76142,19473,58,0,943056
IGCC (MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
