에너지원,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 합계①+② (toe),8850739,232626,107135,158269,292990,37050,47917,855989,1243993,853413,648513,872976,380717,1613010,1063652,376869,65627,9879207
① 재생에너지 합,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
② 신에너지 합,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신·재생에너지 지역별 공급비중 (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
태양열 (toe),26259,1109,1050,1427,854,706,816,372,3559,3185,1151,2553,1206,1994,2554,3268,456,27812
태양광 (toe),237543,5804,2678,2481,3320,3999,1774,1678,12125,8450,9777,16741,37672,63291,42905,21776,3071,344451
풍력 (toe),192674,41,89,3,6674,0,81,762,1299,74797,3,5,2494,1785,60820,1565,42256,242354
수력 (toe),814933,0,6,1853,5245,427,0,415,168382,180868,218828,18954,73582,26014,55475,64787,100,892232
해양 (toe),98310,0,0,0,0,0,0,0,98310,0,0,0,0,0,0,0,0,102077
지열 (toe),65277,5132,974,1803,1588,1914,1448,662,16071,5877,2980,5576,5830,6000,3700,5129,594,86959
수열 (toe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
바이오 (toe),1334724,36658,15712,80617,156465,5722,5092,469740,172298,23118,23799,41773,103456,102877,54317,38896,4185,1558492
폐기물 (toe),5998509,177549,75384,54200,115854,23742,38671,382270,755548,557062,391970,782785,152865,1394229,839982,241435,14965,6502414
연료전지 (toe),82510,6333,11242,15885,2990,540,35,90,16401,56,5,4589,3612,16820,3899,13,0,122416
IGCC (toe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
