에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 합계①+② (toe),388944,266102,193941,416566,83949,135462,1034251,77399,1856951,1400396,873924,2511407,1551001,3465666,2545246,782536,470597,16524882
① 재생에너지 합,320512,210399,185033,372292,83402,135367,1030664,77396,1706019,1400313,873852,2134555,1550141,3439646,2542916,782402,470597,15813116
② 신에너지 합,68432,55703,8908,44274,547,95,3587,3,150932,83,72,376852,860,26019,2330,134,0,711766
신·재생에너지 지역별 공급비중 (%),2.15,1.47,1.07,2.31,0.46,0.75,5.73,0.43,10.29,7.76,4.84,13.91,8.59,19.20,14.10,4.33,2.61,100.00
태양열 (toe),775,883,1022,696,654,768,385,127,2887,3146,1194,2513,1300,2803,3881,3963,401,26688
태양광 (toe),36471,35386,24076,27859,40764,14656,16609,13078,165349,151306,120657,256274,352618,449997,263064,176512,49303,3062023
풍력 (toe),48,111,6,9150,0,95,528,0,1097,147306,4,645,4401,75172,155603,16707,114315,570836
수력 (toe),236,19,859,7500,1689,78,187,0,150778,205458,183642,16355,46688,16607,49708,38482,500,594539
해양 (toe),0,0,0,0,0,0,0,0,103380,0,0,0,0,0,0,0,0,101030
지열 (toe),13334,2674,6267,6784,3459,4353,3730,12874,44029,17057,10046,16549,19398,15556,14290,13358,1706,224698
수열 (toe),0,23,0,95,0,0,0,0,0,638,0,1382,533,7819,140,2392,1702,21398
바이오 (toe),97562,61263,89634,187703,28716,38247,400517,27693,434293,418248,143554,574765,940392,237545,159312,317709,285224,4162427
폐기물 (toe),172088,110039,63169,132503,8119,77171,608709,23624,804206,457154,414756,1266072,184812,2634148,1896919,213278,17445,7049477
연료전지 (toe),68432,55703,8908,44274,547,95,3587,3,150932,83,72,14325,860,26019,2330,134,0,492105
IGCC (toe),0,0,0,0,0,0,0,0,0,0,0,362527,0,0,0,0,0,219661
