,합계,가정용,공공용,서비스업,농림어업,광업,제조업(10차)
계,533430811,77558386,25025912,148181597,18496161,1806892,262361863
서울,47295807,14656127,3575378,27499011,19189,1902,1544200
부산,21067833,4974889,1280159,7507103,110847,19576,7175259
대구,15443949,3461331,866403,5562421,79759,15128,5458907
인천,24901194,4586787,943788,7572381,166780,87829,11543628
광주,8973447,2215918,568578,3272320,76903,3490,2836237
대전,9748621,2102655,1107741,4112045,37039,877,2388264
울산,33593123,1638730,505195,3497844,90321,15117,27845916
세종,4295363,612111,342947,1520211,90952,11510,1717632
경기,133445948,20775255,5941474,37299472,2712094,271724,66445929
강원,16808006,2289719,1478686,6398541,783547,452010,5405503
충북,28402063,2385627,1360538,5365193,920412,128817,18241476
충남,48801626,3184715,1121942,7230648,2291760,341587,34630974
전북,21486861,2588903,1082470,5146076,1704721,69757,10894934
전남,33486886,2578822,1373405,5739917,3461170,82528,20251044
경북,44258297,3709248,1706260,8788905,2135822,228781,27689281
경남,35734059,4826057,1437292,9042660,2369741,68712,17989597
제주,5687730,971492,333656,2626848,1445104,7547,303083
개성,0,0,0,0,0,0,0
