계약종별 전력사용량 월별( 20240509 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 07 월 ~ 2021년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,전체(시도),전체(시 / 군 / 구),주택용,"15,672,884 ","6,962,947,319 ","749,980,237,822 ",107.7 
202107,전체(시도),전체(시 / 군 / 구),일반용,"3,312,125 ","10,677,053,332 ","1,522,010,927,918 ",142.5 
202107,전체(시도),전체(시 / 군 / 구),교육용,"20,945 ","692,959,373 ","80,984,450,820 ",116.9 
202107,전체(시도),전체(시 / 군 / 구),산업용,"431,895 ","25,453,660,860 ","2,969,038,528,843 ",116.6 
202107,전체(시도),전체(시 / 군 / 구),농사용,"1,939,135 ","1,517,557,701 ","69,411,305,405 ",45.7 
202107,전체(시도),전체(시 / 군 / 구),가로등,"2,185,082 ","249,642,828 ","30,162,902,136 ",120.8 
202107,전체(시도),전체(시 / 군 / 구),심 야,"733,289 ","391,733,147 ","23,617,358,919 ",60.3 
202108,전체(시도),전체(시 / 군 / 구),주택용,"15,675,691 ","9,266,333,224 ","1,123,436,848,829 ",121.2 
202108,전체(시도),전체(시 / 군 / 구),일반용,"3,321,111 ","11,952,352,146 ","1,650,439,733,789 ",138.1 
202108,전체(시도),전체(시 / 군 / 구),교육용,"20,947 ","630,914,038 ","75,907,936,715 ",120.3 
202108,전체(시도),전체(시 / 군 / 구),산업용,"432,311 ","24,465,467,800 ","2,804,656,634,166 ",114.6 
202108,전체(시도),전체(시 / 군 / 구),농사용,"1,948,451 ","1,983,874,503 ","87,093,720,537 ",43.9 
202108,전체(시도),전체(시 / 군 / 구),가로등,"2,181,977 ","264,853,561 ","30,905,060,824 ",116.7 
202108,전체(시도),전체(시 / 군 / 구),심 야,"730,911 ","337,373,317 ","20,882,746,323 ",61.9 
202109,전체(시도),전체(시 / 군 / 구),주택용,"15,685,778 ","7,136,710,114 ","754,099,493,968 ",105.7 
202109,전체(시도),전체(시 / 군 / 구),일반용,"3,327,619 ","10,257,550,410 ","1,270,340,018,355 ",123.8 
