"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"신·재생에너지 총발전량①+② (MWh)",소계,소계,소계,43123776,646174,465586,226446,1474011,313908,125281,946151,155971,4162365,4854631,2155759,7329833,6841164,4938585,3694386,2312863,2480660,50657393,782277,616236,251812,2020296,345741,148871,902327,170224,4733827,5888937,2225401,8489538,8325469,6158271,4393519,2542146,2662500,57779999,723176,693590,293356,1911643,471271,224281,689744,169375,5269025,6479493,2785854,9023827,10385213,7481402,5315057,2867620,2996072
"신·재생에너지 총발전량①+② (MWh)",사업용,소계,소계,39791354,438369,371099,133032,1380003,247636,44663,645907,127139,3646637,4676896,1905070,7088521,6613105,4653913,3443625,1977255,2398484,46856560,561587,510457,158628,1907678,269954,55116,577982,138528,4163697,5682226,1948742,8156726,8061705,5826006,4102883,2165894,2568752,53154366,464244,564693,185954,1770371,376701,112075,383256,129900,4593272,6226302,2458115,8500371,10060735,7091288,4943687,2409541,2883863
"신·재생에너지 총발전량①+② (MWh)",자가용,소계,소계,3332422,207805,94487,93414,94008,66272,80618,300244,28833,515728,177735,250689,241313,228059,284673,250761,335608,82176,3800833,220690,105779,93184,112618,75788,93755,324345,31696,570130,206711,276659,332812,263764,332265,290636,376253,93748,4625634,258933,128897,107401,141272,94570,112206,306488,39475,675753,253191,327739,523456,324479,390114,371370,458079,112209
"신·재생에너지 총발전량①+② (MWh)",① 재생에너지 합,소계,소계,37202048,305085,281257,218595,520583,310682,93553,932221,116237,2929914,4805455,2155142,4494230,6832526,4770519,3662355,2293227,2480469,43668518,343803,322758,237111,522823,341185,111077,846768,126389,3280766,5740642,2170437,5845613,8314254,5928947,4357360,2516475,2662109,50405547,388180,365617,278409,564400,406332,139650,472944,128981,3723948,6203412,2579630,6570279,10274015,7189211,5285824,2839026,2995689
"신·재생에너지 총발전량①+② (MWh)",① 재생에너지 합,사업용,소계,33928372,103329,187877,127530,428146,247636,36864,634160,87474,2422681,4627990,1905070,4254502,6605098,4487167,3415779,1958586,2398484,39938435,130332,219322,146764,413170,269682,42482,523841,94765,2721135,5534547,1894620,5514779,8051746,5598852,4071233,2142415,2568752,45859855,137330,239985,174410,427586,316377,52470,167847,89576,3060639,5951086,2252893,6049240,9951295,6801583,4919523,2384152,2883863
"신·재생에너지 총발전량①+② (MWh)",① 재생에너지 합,자가용,소계,3273676,201755,93380,91065,92438,63045,56690,298061,28763,507233,177464,250072,239728,227429,283352,246576,334641,81985,3730083,213471,103437,90347,109653,71503,68595,322926,31625,559631,206096,275817,330834,262508,330095,286127,374060,93358,4545692,250850,125632,103999,136814,89955,87180,305097,39405,663309,252326,326737,521040,322720,387628,366301,454874,111826
"신·재생에너지 총발전량①+② (MWh)",② 신에너지 합,소계,소계,5921728,341090,184330,7851,953427,3227,31727,13930,39734,1232451,49176,617,2835603,8638,168067,32031,19637,191,6988875,438474,293478,14701,1497473,4557,37794,55559,43834,1453062,148294,54965,2643925,11215,229324,36159,25672,390,7374452,334996,327973,14947,1347243,64940,84631,216800,40394,1545077,276081,206224,2453548,111198,292191,29233,28593,383
"신·재생에너지 총발전량①+② (MWh)",② 신에너지 합,사업용,소계,5862982,335040,183222,5502,951857,-,7799,11747,39664,1223956,48906,-,2834019,8008,166746,27846,18669,-,6918125,431255,291136,11864,1494508,272,12634,54141,43763,1442562,147679,54122,2641947,9959,227154,31650,23479,-,7294511,326914,324708,11544,1342785,60324,59605,215409,40324,1532633,275216,205222,2451131,109439,289705,24164,25388,-
"신·재생에너지 총발전량①+② (MWh)",② 신에너지 합,자가용,소계,58746,6050,1107,2349,1570,3227,23928,2183,70,8495,270,617,1585,630,1321,4185,967,191,70750,7219,2342,2837,2965,4284,25160,1418,72,10500,615,843,1978,1256,2170,4509,2193,390,79942,8082,3265,3403,4458,4616,25026,1392,70,12444,865,1002,2416,1759,2487,5069,3205,383
"신·재생에너지 지역별 발전비중 (%)",소계,소계,소계,100.00,1.50,1.08,0.53,3.42,0.73,0.29,2.19,0.36,9.65,11.26,5.00,17.00,15.86,11.45,8.57,5.36,5.75,100.00,1.54,1.22,0.50,3.99,0.68,0.29,1.78,0.34,9.34,11.63,4.39,16.76,16.43,12.16,8.67,5.02,5.26,100.00,1.25,1.20,0.51,3.31,0.82,0.39,1.19,0.29,9.12,11.21,4.82,15.62,17.97,12.95,9.20,4.96,5.19
"① 재생에너지",태양광 (MWh),소계,소계,19337964,228302,227625,170703,190865,292567,92382,124484,85394,1441434,1408461,1115632,2479172,3241991,3972969,2317698,1457496,490790,24717623,244804,268850,203414,222103,323404,107759,147698,94225,1764822,1831240,1407403,3094979,4231407,5198466,3076962,1823756,676330,30726260,290528,324351,253577,258249,390494,135265,177458,112270,2133592,2181578,1711676,3693682,5534009,6376158,4085780,2279853,787739
"① 재생에너지",태양광 (MWh),사업용,소계,16452484,43583,136752,99896,99094,229524,36864,70432,56631,977658,1233622,875883,2244663,3020066,3693137,2083240,1137923,413516,21444281,47615,167763,121912,115479,251906,42482,89913,62600,1247867,1627844,1139536,2820507,3973898,4881180,2802470,1463435,587874,26682924,52124,203830,154257,125697,300547,52470,108421,73232,1492491,1931527,1389816,3345851,5211344,5991772,3732454,1837387,679703
"① 재생에너지",태양광 (MWh),자가용,소계,2885480,184719,90873,70807,91770,63043,55518,54052,28763,463776,174839,239749,234509,221925,279832,234458,319574,77274,3273342,197189,101087,81502,106624,71499,65276,57786,31625,516955,203396,267867,274472,257510,317285,274492,360321,88456,4043336,238404,120521,99320,132552,89947,82795,69037,39038,641101,250051,321861,347831,322665,384385,353326,442466,108036
"① 재생에너지",풍력 (MWh),소계,소계,3149948,204,253,26,52828,2,398,1514,-,5637,782333,28,3001,131208,576232,944038,74184,578062,3180017,198,67,25,39490,5,379,1745,-,4680,947359,49,2047,145910,525511,914994,68197,529363,3369458,202,69,26,38774,8,386,250,-,4495,954664,73,2133,161686,585571,913760,133380,573980
"① 재생에너지",풍력 (MWh),사업용,소계,3139475,-,146,-,52639,-,-,1500,-,5573,780223,-,2934,131169,573109,943247,72537,576396,3169833,-,4,-,39272,-,-,1730,-,4609,945255,-,1976,145862,522524,914218,66617,527766,3358850,-,5,-,38511,-,-,232,-,4418,952472,-,2021,161631,582492,912960,131769,572340
"① 재생에너지",풍력 (MWh),자가용,소계,10474,204,107,26,189,2,398,13,-,64,2110,28,67,39,3123,791,1647,1666,10184,198,62,25,218,5,379,15,-,71,2104,49,71,48,2987,776,1580,1596,10608,202,63,26,263,8,386,19,-,76,2192,73,112,55,3079,801,1611,1641
"① 재생에너지",수력 (MWh),소계,소계,3879383,1112,93,12951,39579,7795,241,1457,-,649895,1062271,1010026,61599,285784,114120,319014,310046,3399,3057210,618,41,14518,41096,8230,257,1144,-,633233,713162,731058,57296,238930,86132,292238,236059,3198,3544866,379,244,14966,30288,6269,122,437,-,717533,1169315,824421,52379,212888,56039,238520,218238,2829
"① 재생에너지",수력 (MWh),사업용,소계,3877175,1112,38,12951,39546,7795,-,1457,-,648370,1062271,1010026,61499,285784,114120,319014,310046,3145,3054616,618,35,14518,40391,8230,-,1144,-,631891,713162,731058,57229,238930,86132,292238,236059,2981,3541073,379,32,14966,28438,6269,-,437,-,716126,1169315,824421,52367,212888,56039,238520,218238,2638
