"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"신·재생에너지 총발전량①+② (MWh)",소계,소계,소계,19498064,176227,103840,115232,513727,37232,8379,515504,1682266,1275023,1114117,3551423,676956,2952041,6006565,544958,224579,21437822,236189,144956,120338,536055,50189,13186,663442,720,1964118,1770317,1096294,3828864,708959,3022574,5900952,1101705,278962,26882190,256391,216239,107527,932945,61459,23511,584413,30371,1897065,1606493,760554,6060662,981230,3656260,7075102,1821132,810838,37078862,435992,265427,143797,866708,116864,29810,629800,38750,1854325,1522010,657422,6611242,1252727,11035093,7997362,2128017,1493517,40655803,434781,262619,163394,966861,130526,35050,887319,57245,2119851,1809446,1085464,7686273,1584559,11135415,8587810,1920144,1789046,46623321,595227,445744,161255,639902,156732,44437,1112128,60650,2244820,2767094,1098134,9003431,3455024,12347538,9324032,1679419,1487755,53665123,648640,572936,197016,745254,207138,71321,1340733,94713,3039182,3514752,1505716,10188066,5109846,12641507,10134295,1781652,1872355,52340558,620824,555757,213801,1096745,269032,108432,1145401,106914,3359322,3748855,1502675,9013117,5975546,10632701,9249434,1957535,2784464,43123776,646174,465586,226446,1474011,313908,125281,946151,155971,4162365,4854631,2155759,7329833,6841164,4938585,3694386,2312863,2480660,50657393,782277,616236,251812,2020296,345741,148871,902327,170224,4733827,5888937,2225401,8489538,8325469,6158271,4393519,2542146,2662500,57779999,723176,693590,293356,1911643,471271,224281,689744,169375,5269025,6479493,2785854,9023827,10385213,7481402,5315057,2867620,2996072
"신·재생에너지 총발전량①+② (MWh)",사업용,소계,소계,12768554,88382,75290,96783,486664,14111,1349,7721,1409950,1260248,1077115,3281767,597295,2919691,750163,491200,210828,15348683,140443,127726,97943,502171,23827,5244,105527,51,1846486,1732501,1051529,3807926,538457,2934135,1145150,1026515,263049,20910665,155995,192650,81791,908134,42805,10425,64285,16156,1784753,1547351,698171,6030146,852951,3597566,2444871,1700050,782566,23829002,323718,239933,107338,838658,86802,13843,266615,32622,1719246,1398929,581988,6576878,1143632,4102404,2976454,1954114,1465828,26806171,315842,236652,123388,933797,100902,16934,302567,49481,1912022,1771536,847867,7326301,1535813,4517044,3248641,1806892,1760492,31649620,470312,412686,111197,599207,131142,20733,550614,48266,1999811,2718679,1006383,8581389,3392678,5180144,3422014,1549877,1454487,37255151,467996,502330,121053,681748,158861,26893,594152,73545,2606976,3398197,1328358,9688935,4955445,5375307,3945786,1515352,1814218,38028933,416393,471595,133048,1017964,211505,34857,514579,81610,2869416,3601066,1286058,8557160,5787045,4916325,3778842,1639054,2712419,39791354,438369,371099,133032,1380003,247636,44663,645907,127139,3646637,4676896,1905070,7088521,6613105,4653913,3443625,1977255,2398484,46856560,561587,510457,158628,1907678,269954,55116,577982,138528,4163697,5682226,1948742,8156726,8061705,5826006,4102883,2165894,2568752,53154366,464244,564693,185954,1770371,376701,112075,383256,129900,4593272,6226302,2458115,8500371,10060735,7091288,4943687,2409541,2883863
"신·재생에너지 총발전량①+② (MWh)",자가용,소계,소계,6729510,87845,28550,18449,27063,23121,7030,507783,272316,14775,37002,269656,79661,32350,5256402,53758,13751,6089139,95746,17230,22395,33884,26362,7942,557915,670,117632,37817,44765,20938,170502,88438,4755802,75190,15912,5971525,100396,23588,25737,24811,18654,13086,520128,14215,112312,59142,62382,30517,128279,58693,4630231,121082,28272,13249860,112274,25495,36459,28049,30062,15966,363185,6128,135079,123081,75434,34363,109095,6932690,5020908,173903,27689,13849632,118939,25966,40006,33064,29624,18117,584752,7763,207829,37910,237598,359972,48745,6618371,5339169,113252,28555,14973701,124915,33058,50058,40695,25589,23703,561514,12384,245009,48415,91751,422042,62347,7167394,5902017,129542,33268,16409971,180644,70606,75963,63505,48277,44428,746581,21168,432206,116555,177358,499131,154402,7266201,6188509,266300,58137,14311625,204431,84161,80753,78781,57528,73576,630823,25304,489906,147789,216617,455957,188502,5716377,5470592,318481,72045,3332422,207805,94487,93414,94008,66272,80618,300244,28833,515728,177735,250689,241313,228059,284673,250761,335608,82176,3800833,220690,105779,93184,112618,75788,93755,324345,31696,570130,206711,276659,332812,263764,332265,290636,376253,93748,4625634,258933,128897,107401,141272,94570,112206,306488,39475,675753,253191,327739,523456,324479,390114,371370,458079,112209
"신·재생에너지 총발전량①+② (MWh)",① 재생에너지 합,소계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25939134,200239,178316,75338,899876,58679,23295,559965,30371,1294112,1606251,760529,6045948,965631,3585700,7022974,1821073,810838,35983514,261194,240245,97731,778976,114593,29607,606914,38750,1247888,1521821,657402,6582841,1240738,10961748,7981593,2127955,1493517,39151720,254460,232292,111739,853899,128149,34768,868598,57245,1528856,1809260,1085349,7301312,1582625,11017456,8576742,1919923,1789046,43868299,268419,263002,119556,521410,154344,44062,1091472,60650,1621440,2766913,1097865,7689565,3454139,12240308,9308367,1679032,1487755,50198169,327731,311474,155315,537467,204749,70905,1324042,94698,2330906,3514375,1505401,8418858,5105813,12519390,10123634,1781056,1872355,49002632,340229,307621,180211,533773,266482,82730,1133628,106865,2566138,3747979,1502255,7835576,5970564,10452317,9236543,1955258,2784464,37202048,305085,281257,218595,520583,310682,93553,932221,116237,2929914,4805455,2155142,4494230,6832526,4770519,3662355,2293227,2480469,43668518,343803,322758,237111,522823,341185,111077,846768,126389,3280766,5740642,2170437,5845613,8314254,5928947,4357360,2516475,2662109,50405547,388180,365617,278409,564400,406332,139650,472944,128981,3723948,6203412,2579630,6570279,10274015,7189211,5285824,2839026,2995689
"신·재생에너지 총발전량①+② (MWh)",① 재생에너지 합,사업용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19987849,105164,154969,49818,875618,42805,10425,42142,16156,1184617,1547351,698171,6015489,837394,3527481,2397632,1700050,782566,22751495,153318,215012,61589,751648,86802,13843,245554,32622,1115468,1398929,581988,6548562,1131676,4029443,2965099,1954114,1465828,25320946,140208,206720,72365,821622,100902,16934,285766,49481,1324373,1771536,847867,6941603,1533912,4399488,3240786,1806892,1760492,28916119,148398,230535,70567,481579,131142,20733,532002,48266,1380296,2718679,1006383,7268010,3391823,5073385,3409957,1549877,1454487,33811345,151973,241581,80977,474911,158861,26893,579463,73545,1903005,3397992,1328358,7920386,4951441,5253711,3938816,1515214,1814218,34740260,140870,224270,101548,456123,211505,31915,504833,81610,2082052,3600329,1286058,7380668,5782094,4736565,3770042,1637361,2712419,33928372,103329,187877,127530,428146,247636,36864,634160,87474,2422681,4627990,1905070,4254502,6605098,4487167,3415779,1958586,2398484,39938435,130332,219322,146764,413170,269682,42482,523841,94765,2721135,5534547,1894620,5514779,8051746,5598852,4071233,2142415,2568752,45859855,137330,239985,174410,427586,316377,52470,167847,89576,3060639,5951086,2252893,6049240,9951295,6801583,4919523,2384152,2883863
"신·재생에너지 총발전량①+② (MWh)",① 재생에너지 합,자가용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5951286,95074,23347,25520,24258,15875,12870,517822,14215,109495,58901,62357,30458,128237,58219,4625342,121024,28272,13232019,107876,25234,36142,27327,27791,15764,361360,6128,132420,122892,75414,34278,109062,6932306,5016494,173841,27689,13830774,114252,25572,39374,32277,27248,17835,582832,7763,204483,37724,237482,359709,48713,6617967,5335956,113031,28555,14952179,120021,32467,48989,39831,23202,23328,559470,12384,241144,48234,91482,421554,62315,7166923,5898411,129155,33268,16386824,175759,69892,74338,62556,45888,44012,744579,21154,427902,116382,177043,498472,154372,7265679,6184818,265843,58137,14262371,199359,83351,78664,77650,54978,50815,628795,25255,484086,147650,216196,454908,188471,5715752,5466501,317897,72045,3273676,201755,93380,91065,92438,63045,56690,298061,28763,507233,177464,250072,239728,227429,283352,246576,334641,81985,3730083,213471,103437,90347,109653,71503,68595,322926,31625,559631,206096,275817,330834,262508,330095,286127,374060,93358,4545692,250850,125632,103999,136814,89955,87180,305097,39405,663309,252326,326737,521040,322720,387628,366301,454874,111826
"신·재생에너지 총발전량①+② (MWh)",② 신에너지 합,소계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,943056,56152,37923,32189,33069,2780,216,24448,-,602953,241,25,14715,15599,70560,52128,58,-,1095349,174797,25182,46066,87732,2271,202,22886,-,606437,189,20,28401,11989,73345,15769,62,-,1504083,180321,30327,51655,112962,2376,282,18721,-,590994,186,115,384961,1933,117960,11068,221,-,2755022,326809,182741,41699,118492,2388,375,20656,-,623380,181,269,1313866,886,107230,15664,388,-,3466954,320908,261462,41702,207787,2389,416,16691,15,708275,377,315,1769208,4033,122117,10661,596,-,3337926,280596,248136,33590,562972,2550,25702,11773,50,793184,876,421,1177541,4982,180385,12891,2277,-,5921728,341090,184330,7851,953427,3227,31727,13930,39734,1232451,49176,617,2835603,8638,168067,32031,19637,191,6988875,438474,293478,14701,1497473,4557,37794,55559,43834,1453062,148294,54965,2643925,11215,229324,36159,25672,390,7374452,334996,327973,14947,1347243,64940,84631,216800,40394,1545077,276081,206224,2453548,111198,292191,29233,28593,383
"신·재생에너지 총발전량①+② (MWh)",② 신에너지 합,사업용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,922817,50830,37681,31973,32516,-,-,22143,-,600136,-,-,14656,15557,70086,47239,-,-,1077507,170400,24921,45749,87010,-,-,21061,-,603778,-,-,28316,11956,72961,11355,-,-,1485225,175634,29932,51023,112175,-,-,16801,-,587649,-,-,384698,1901,117556,7855,-,-,2733501,321915,182151,40631,117627,-,-,18612,-,619515,-,-,1313379,854,106759,12058,-,-,3443807,316023,260749,40076,206838,-,-,14688,-,703971,205,-,1768549,4004,121596,6971,138,-,3288673,275523,247325,31501,561841,-,2942,9746,-,787364,737,-,1176492,4951,179760,8800,1693,-,5862982,335040,183222,5502,951857,-,7799,11747,39664,1223956,48906,-,2834019,8008,166746,27846,18669,-,6918125,431255,291136,11864,1494508,272,12634,54141,43763,1442562,147679,54122,2641947,9959,227154,31650,23479,-,7294511,326914,324708,11544,1342785,60324,59605,215409,40324,1532633,275216,205222,2451131,109439,289705,24164,25388,-
"신·재생에너지 총발전량①+② (MWh)",② 신에너지 합,자가용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20239,5322,241,216,553,2780,216,2305,-,2817,241,25,58,42,474,4889,58,-,17842,4397,261,317,722,2271,202,1825,-,2659,189,20,85,33,384,4414,62,-,18858,4687,394,631,788,2376,282,1920,-,3346,186,115,263,32,404,3213,221,-,21521,4894,591,1069,864,2388,375,2044,-,3864,181,269,488,31,470,3606,388,-,23147,4885,713,1625,949,2389,416,2003,15,4304,172,315,660,30,522,3691,458,-,49254,5073,811,2089,1131,2550,22760,2027,50,5820,139,421,1049,31,625,4092,585,-,58746,6050,1107,2349,1570,3227,23928,2183,70,8495,270,617,1585,630,1321,4185,967,191,70750,7219,2342,2837,2965,4284,25160,1418,72,10500,615,843,1978,1256,2170,4509,2193,390,79942,8082,3265,3403,4458,4616,25026,1392,70,12444,865,1002,2416,1759,2487,5069,3205,383
"신·재생에너지 지역별 발전비중 (%)",소계,소계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,0.95,0.80,0.40,3.47,0.23,0.09,2.17,0.11,7.06,5.98,2.83,22.55,3.65,13.60,26.32,6.77,3.02,100.00,1.18,0.72,0.39,2.34,0.32,0.08,1.70,0.10,5.00,4.10,1.77,17.83,3.38,29.76,21.57,5.74,4.03,100.00,1.07,0.65,0.40,2.38,0.32,0.09,2.18,0.14,5.21,4.45,2.67,18.91,3.90,27.39,21.12,4.72,4.40,100.00,1.28,0.96,0.35,1.37,0.34,0.10,2.39,0.13,4.81,5.94,2.36,19.31,7.41,26.48,20.00,3.60,3.19,100.00,1.21,1.07,0.37,1.39,0.39,0.13,2.50,0.18,5.66,6.55,2.81,18.98,9.52,23.56,18.88,3.32,3.49,100.00,1.19,1.06,0.41,2.10,0.51,0.21,2.19,0.20,6.42,7.16,2.87,17.22,11.42,20.31,17.67,3.74,5.32,100.00,1.50,1.08,0.53,3.42,0.73,0.29,2.19,0.36,9.65,11.26,5.00,17.00,15.86,11.45,8.57,5.36,5.75,100.00,1.54,1.22,0.50,3.99,0.68,0.29,1.78,0.34,9.34,11.63,4.39,16.76,16.43,12.16,8.67,5.02,5.26,100.00,1.25,1.20,0.51,3.31,0.82,0.39,1.19,0.29,9.12,11.21,4.82,15.62,17.97,12.95,9.20,4.96,5.19
"① 재생에너지",태양광 (MWh),소계,소계,1103227,25710,11985,10948,14874,18012,7821,7407,53997,39008,44365,77763,177234,298001,201832,100234,14035,1605182,31263,55100,19994,22089,25412,12393,9639,425,80132,50036,62955,106297,275384,435203,243945,152886,22030,2556299,53021,68826,34871,38193,39232,22237,14006,7812,157574,137016,105491,183928,448670,669188,293314,234819,48102,3979158,74994,91376,49819,51238,85668,28604,21932,22453,233215,189132,168596,367688,724840,1017949,424086,334106,93462,5122441,86829,97528,61667,58627,99254,33987,24438,33763,298089,241720,234281,576116,935831,1267413,565179,395271,112449,7056219,105789,117514,76128,84845,133391,43066,39042,39496,400164,384631,360665,830746,1203832,1684211,836810,545261,170627,10154964,161941,161433,109238,126232,187934,65877,75098,59810,752791,701797,554732,1192135,1644913,2098429,1223261,811509,227832,14192911,200569,195180,144052,159073,250572,80403,95105,69222,1085862,1055609,803035,1735476,2340375,2771005,1712302,1130759,364312,19337964,228302,227625,170703,190865,292567,92382,124484,85394,1441434,1408461,1115632,2479172,3241991,3972969,2317698,1457496,490790,24717623,244804,268850,203414,222103,323404,107759,147698,94225,1764822,1831240,1407403,3094979,4231407,5198466,3076962,1823756,676330,30726260,290528,324351,253577,258249,390494,135265,177458,112270,2133592,2181578,1711676,3693682,5534009,6376158,4085780,2279853,787739
